Наименование,Регион,Метро,Округ,Район,Городской округ МО,Тип,Класс здания,Площадь,Цена,Цена за м²,Тип объекта,Дата публикации объявления,Дата обновления объявления,Номер в каталоге,Адрес,Ссылка,Описание
"Производство, 2024.4 м²",Московская область,,,,Коломна,Коммерческая недвижимость,,2024.4 м²,24 300 000 ₽,12 004 ₽,Производство,20/8/2020,20/8/2020,2802981244,"Московская область, Коломна, улица Партизан, 42, Коломна, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-kolomna-2802981244,"Продается производственный комплекс:Здание лесопильного участка модельного цеха (2-этажное) – 1 879,8 кв. м.Здание склада – 70,5 кв. м.Здание склада литья 2 – 74,1 кв. м.,Линейный объект - ж/д пути - 504 кв. м.,Дороги - 9 970 кв. м.,Земельныйе участок - 44 788 кв. м.,Земельный участок - 6 686 кв. м., земли населенных пунктов - промышленное производство, земли населенных пунктов - производственная деятельность (размещение сооружения: дороги), ограничения и обременения: бессрочный частный сервитут на земельный участок 6 686 кв. м., Кран козловой двухконсольный грузоподъем 10 т. (2 шт.),Ворота откатные,Канал радиосвязи,Светофор,Источник бесперебойного питания АРС (2 шт.),Вагончик КПП, ВГ-062004.__________________________________________________________В случае заинтересованности предложением, пожалуйста, прочитайте информацию ниже.Данное имущество продается согласно Федеральному закону Российской Федерации от 26.10.2002 № 127-ФЗ «О несостоятельности (банкротстве)».Статья 110. Продажа предприятия должникаСтатья 111. Продажа части имущества должникаСтатья 139. Продажа имущества должника________________________________________________________Оплата в ипотеку, рассрочку и т.п. не возможна!________________________________________________________Это имущество принадлежало юр. лицу, которое прошло официальную процедуру банкротства и теперь его имущество продается на торгах.Решение о признании банкротом принимает Арбитражный суд.Весь процесс регулируется государственными органами.________________________________________________________Я выступаю в роли агента, который поможет выкупить Вам это или другое имущество гораздо дешевле рыночной стоимости!Работаю по договору и за умеренное вознаграждение (согласуется с покупателем), имею официальную аккредитацию на электронных торговых площадках по банкротству, электронную подпись.________________________________________________________Если Вас заинтересовало данное предложение или у Вас остались какие то вопросы, то я с радостью предоставлю всю необходимую информацию по телефону, эл. почте, при личной встрече в Москве.________________________________________________________В случае успешной сделки скину 10000 р. за положительный отзыв.________________________________________________________Звонить с 10:00 до 20:00, если не отвечаю на звонок, то, пожалуйста, пишите здесь или в WhatsApp и Viber в любое время."
"Производство, 7500 м²",Московская область,,,,Хорлово,Коммерческая недвижимость,,7500 м²,150 000 000 ₽,20 000 ₽,Производство,25/8/2020,25/8/2020,2814753439,"Россия, Московская область, городской округ Воскресенск, рабочий посёлок Фосфоритный, Рудниковская улица, 10, Хорлово, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-horlovo-2814753439,"Продаётся промышленная площадка , бывшего обогатительного завода . Большие мощности , газ ( много) . Земельный участок 12 га . Торг !!!По всем вопросам звоните !"
"Склад, 5721 м²",Московская область,,,,Дмитров,Коммерческая недвижимость,,5721 м²,140 000 000 ₽,24 471 ₽,Склад,20/8/2020,20/8/2020,2802436726,"Московская область, Дмитровский городской округ, Дмитров, Промышленная улица, 46, Дмитров, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-dmitrov-2802436726,"Лот №286159 Без Комиссии от Собственника!🔥 Продажа помещения пл. 5721 м2 под склад, аптечный склад, пищевое производство, производство, теплый склад, офис и склад Дмитров Дмитровское шоссе в складском комплексе.Продаётся в аренду отапливаемый складской комплекс площадью 5721 м2 в г. Дмитров, в том числе 478 м2 административных помещений. Огороженная территория 2.2 Га. Высота потолков 9 м, бетонный пол с антипылевым покрытием и нагрузкой 5 тонн на м2, отдельный дебаркадер для разгрузки, душевые комнаты и раздевалки для персонала, подсобные помещения, удобные подъездные пути для большегрузного транспорта. Складской комплекс оснащён автономной котельной работающей на газу и дизельном топливе.Чтобы получить ПОДРОБНУЮ ПРЕЗЕНТАЦИЮ С ПЛАНИРОВКОЙ И ФОТОГРАФИЯМИ, звоните или отправьте свой email и номер телефона в сообщении на портале. Высылаем в течение 15 минут по запросу!☎ Конт. лицо: Алексей Юрьевич, доб. 118, ЛОТ №286159"
"Производство, 13000 м²",Московская область,,,,Фрязино,Коммерческая недвижимость,,13000 м²,40 000 000 ₽,3 077 ₽,Производство,21/8/2020,21/8/2020,2804599278,"Московская область, Фрязино, Заводской проезд, 2, Фрязино, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-fryazino-2804599278,"Продается земельный участок площадью 0,5 Га (промышленного назначения) с расположенными на нем зданиями, общей площадью 1300 кв.м в г.Фрязино, Окружной проезд.  Помещения свободного назначения. 600 кв.м сдается в аренду под производство, 500 кв. используется под автосервис. На территории так же расположено офисное здание. Огороженная территория с постом охраны. Видео наблюдение.  Все центральные коммуникации (газ,свет 100 квт, вода,отопление). Хороший, удобный подъезд. Вся территория асфальтирована. Кадастровый номер:  50:44:0030301:35.  Более подробная информация по телефону."
"Склад, 2250 м²",Москва,Котельники,,,,Коммерческая недвижимость,C,2250 м²,105 000 000 ₽,46 667 ₽,Склад,19/7/2020,20/8/2020,2726571392,"Московская область, Люберцы, Котельническая улица, 9, Люберцы, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-lyubertsy-2726571392,"Продается производственно-складской комплекс, расположенный на 68 сотках, состоящий из: производственного-складского здания 2250 м2, где 950м2 офисные помещения и 1300м2 производственные-складские; два отдельно стоящих складских павильона 100м2 и 210м2; отдельно стоящее здание общежития (гостиница) с кухней и с/у, 135м2. Все помещения в хорошем рабочем состоянии. Отопление от своего газопровода низкого давления и котельной. Хорошие асфальтированные дороги и территория. КПП, круглосуточная охрана. Всё в собственности. Подробнее по телефону."
"Склад, 3964.4 м²",Москва,Черкизовская,ВАО,Гольяново,,Коммерческая недвижимость,,3964.4 м²,300 000 000 ₽,75 673 ₽,Склад,20/8/2020,20/8/2020,2802009130,"Москва, 1-й Иртышский проезд, 6с1, Гольяново, Москва",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-moskva-2802009130,"Продается нежилое здание, кадастровый номер 77:03:0002007:1127, общая площадь  3964,4 кв.м., количество этажей (в т.ч. подземных)  3, год ввода в эксплуатацию  1976, стены  кирпич, железобетонные панели, перекрытие  плиты железобетонные, кровля  перекрытие железобетонное. Объект расположен на земельном участке с кадастровым номером 77:03:0002007:26, назначение: земли населённых пунктов, эксплуатации зданий и сооружений завода, площадь объекта: 14208 кв. м. Участок в аренде.Наиболее свежая информация находится у владельца объявления."
"Коммерческая недвижимость, 75000 м²",Московская область,,,,Снегири,Коммерческая недвижимость,,75000 м²,42 012 432 ₽,560 ₽,Коммерческая недвижимость,19/8/2020,20/8/2020,2800972267,"Московская область, городской округ Истра, деревня Лужки, 1, Снегири, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-snegiri-2800972267,"В рамках ликвидации компании, продается земельный участок по 127 фз-рф ( о банкротстве)Если не знаете, что такое реализация по 127 фз. Посмотрите мое видео в прикрепленныхПродаетсяЗемельный участок, площадью 75 000 кв.м., категории земель – земли населенных пунктов, предназначенный для малоэтажного жилищного строительства, кадастровый номер 50:08:0090337:181Адрес: местоположение которого установлено относительно ориентира, расположенного за пределами участка, в качестве которого обозначен жилой дом № 1, дер. Лужки, с/пос. Ядроминское Истринского р-на Московской обл., участок находится примерно в 200 м от ориентира по направлению на запад.График снижения цены16.09.2020.......50 181 516,00.......рублей23.09.2020.......46 096 974,00.......рублей30.09.2020.......42 012 432,00.......рублейДанный объект реализуется в рамках ФЗ 127 (о несостоятельности, банкротстве).Процедура оформления документов существенно не отличается от обычной сделки купли-продажи.Есть также другие объекты из жилой, коммерческой недвижимости и объекты по продаже земли.Звоните подробно все расскажу"
"Производство, 3300 м²",Московская область,,,,Люберцы,Коммерческая недвижимость,,3300 м²,100 000 000 ₽,30 303 ₽,Производство,22/6/2020,21/8/2020,2661720894,"Московская область, Люберцы, Транспортная улица, 5, Люберцы, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-lyubertsy-2661720894,"Продажа. Коммерческая недвижимость. Люберцы, Новорязанское ш, 6 км от МКАД. Производственно-складской комплекс 3.300 м2, утепленный, Н = 11 м. Электрич. 100 кВт. Водопровод – скважина. Газ в 10 метрах. Отопление — внутри есть разводка под котел, по складу разведены воздуходувы под регистры. Одни ворота с автомобильным пандусом. 4 ворот с «нулевым» уровнем разгрузки. Трое ворот для разгрузки ж/д вагонов с «нулевым» уровнем. Оборудован стеллажами. АБК 30 м2 (теплый). Частично сдан в аренду под склад ответ. хранения, годовой доход 18 млн. рублей.Ж/д ветка примыкает к складу, можно получить разрешение на использование в РЖД.Земли 0,6 га в собственности, промназначения, огорожено забором. Охрана — КПП., Люберцы г, Транспортная улица 5, продается Производственно-промышленное помещение, общ. пл. 3300 кв.м., 1/1 этаж, Номер лота: 2570603"
"Магазин, 2001.6 м²",Москва,Новогиреево,ВАО,Новогиреево,,Коммерческая недвижимость,,2001.6 м²,285 000 000 ₽,142 386 ₽,Магазин,26/3/2019,21/8/2020,1176523617,"Москва, Зелёный проспект, 83с2, Новогиреево, Москва",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-moskva-1176523617,"Продажа готового арендного бизнеса — торгового центра на Зеленом проспекте. Земельный участок, на котором располагается строение, также находится в собственности.Здание двухэтажное, его общая площадь составляет 2001,6 кв. м, из них на 1-м этаже — 1001,5 кв. м, на втором — 956,8 кв. м. Этажи имеют открытые зальные планировки, высота потолков — 4 м.Выполнен качественный ремонт, оборудованы все необходимые для работы торгового центра инженерные системы, в том числе горячее и холодное водоснабжение, отопление, водоотведение. Выделено 300 кВт электричества.На первом этаже работает супермаркет с долгим договором. На втором этаже площади сданы еще нескольким арендаторам под магазины, салон красоты, др. В настоящий момент МАП превышает 3 млн. руб.В результате, учитывая стоимость продажи данного арендного бизнеса, срок окупаемости вложений в его покупку довольно короткий, он лучше, чем средний показатель по рынку недвижимости Москвы. Если вас интересует возможность купить эффективный арендный бизнес, звоните! Телефон указан здесь, на этой странице"
"Производство, 4400 м²",Московская область,,,,Балашиха,Коммерческая недвижимость,,4400 м²,220 000 000 ₽,50 000 ₽,Производство,30/5/2019,21/8/2020,1462199837,"Московская область, Балашиха, Западная улица, 7А, Балашиха, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-balashiha-1462199837,Продаётся  производственное здание 4км от МКАД 500м от Горьковского шоссе. Свободная планировка. Офисное помещение. Жилое помещение для рабочих. Электричество 1000 кВ.  Вода и канализация централизованные. Двор. Земля в собственности. Два отдельных входа. Можно купить половину.
"Производство, 100000 м²",Московская область,,,,Павловский Посад,Коммерческая недвижимость,,100000 м²,25 000 000 ₽,250 ₽,Производство,14/12/2019,21/8/2020,2111822364,"Московская область, городской округ Павловский Посад, деревня Логиново, Павловский Посад, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-pavlovskiy_posad-2111822364,"Продаётся ферма , общая площадь 15 гкт 1.коровник 3717 кв 2.коровник 3700 кв 3.насосная станция - 15.2 кв 4.артскважина 15.2 кв 5.водонапорная башня 6.весы 30 тонн 73.4 кв 7.склад ядохимикатов8.силосная траншея - 366 кв 9.силосная траншея 1239кв10.силосная траншея 1372кв 11.силосная траншея 535.8 кв12. Силосная траншея 532 кв 50:17:0030213:395Возможна аренда  под Ферму , склад , производство и т д. Цена договорная Более подробная информация по телефону"
"Коммерческая недвижимость, 4019.4 м²",Московская область,,,,Подольск,Коммерческая недвижимость,,4019.4 м²,84 500 000 ₽,21 023 ₽,Коммерческая недвижимость,23/1/2020,23/8/2020,2241650452,"Московская область, Подольск, микрорайон Климовск, Симферопольская улица, 53, Подольск, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-podolsk-2241650452,"Продажа от собственника - ПАО ""Ростелеком"".К продаже предлагается нежилое 3 -этажное здание АТС,общей площадью 4 019,4 кв.м., кадастровый номер: 50:56:0030322:45.Адрес: Московская область, г. Подольск, мкр. Климовск, ул. Симферопольская, д. 53.Описание:- год ввода в эксплуатацию: 1988 г.;- фундамент: ж/б блоки;- стены: кирпичные;- перекрытия: ж/б плиты;- крыша: рулонная совмещенная;- полы: линолеум, плитка.- проемы: 2-е спаренные на 1 м стекл. заводского производства.Здание обеспечено электроснабжением (80 кВт), отоплением, водоснабжением, канализацией.* Земельный участок, площадью 4 900 кв.м., под объектом недвижимости, предоставлен на праве аренды (договор от 07.06.2016 г.), заключенному на 49 лет.Категория земель: земли населенных пунктов, разрешенное использование: для предоставления услуг связи, кадастровый номер: 50:56:0030322:11.Местоположение:- ближайшее окружение представлено объектами жилого и общественно-делового назначения с включением объектов производственно-складского назначения;- доступность объекта автомобильным транспортом без ограничений;- ближайшая остановка общественного транспорта «Станция Гривно (ул. Симферопольская)» расположена на удалении ~ 50 м от объекта;- парковка возможна на прилегающей к зданию территории.По всем вопросам обращайтесь по телефону."
"Производство, 3544.3 м²",Московская область,,,,Томилино,Коммерческая недвижимость,,3544.3 м²,70 635 000 ₽,19 929 ₽,Производство,21/1/2020,23/8/2020,2235265311,"Московская область, городской округ Люберцы, рабочий посёлок Томилино, улица Гаршина, 11, Томилино, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-tomilino-2235265311,"Продажа от собственника - ПАО ""Ростелеком""Предлагается к продаже часть здания (часть цокольного этажа, 1,2,3, технический этажи), предназначенная для АТС-557, общей площадью 3544,3 кв.м, инв. № 3056, назначение: нежилое здание, кадастровый номер: 50:22:0000000:103316, расположенное по адресу: Московская область, Люберецкий р-н, п. Томилино, ул. Гаршина, д. 11.Описание:- год постройки: 1985 г.;- число этажей: 3 + тех. этаж;- фундамент: ж/б блоки;- стены: кирпичные;- перегородки: ж/б и кирпичные;- перекрытия: ж/бетон;- крыша: мягкая совмещенная;- полы: линолеум, плитка;- проемы: оконные - двойные створные; дверные - филенчатые;- внутренняя отделка: штукатурка, облицовка, окраска.- несколько отдельных входов.Санитарно-электротехнические устройства: электричество, отопление, водоснабжение, канализация, вентиляция, лифты.Объект расположен на земельном участке, общей площадью 3230 кв. м, кадастровый номер: 50:22:0040107:15, категория земель: земли населенных пунктов, разрешенное использование: для застройки объектами инженерной и транспортной инфраструктуры.Земельный участок используется Продавцом по договору аренды земельного участка от 24.10.2014 г., заключенному с Администрацией муниципального образования Люберецкий муниципальный район на 49 лет.Объект расположен на первой линии застройки ул. Гаршина в центральной части пос. Томилино. Основу квартала местоположения, как и в целом поселка, составляют дома ИЖС и малоэтажные жилые дома с включением объектов общественно-деловой застройки. К объекту примыкает территория торгового комплекса Планета, почты. Администрация поселка расположена на расстоянии около 600 м. от объекта (ул. Потехина, 12, пересечение с ул. Гаршина).Доступность объекта автомобильным транспортом без ограничений.Ближайшая остановка общественного транспорта «Томилинский перекресток» расположена на удалении ~ 50 м от объекта.- парковка возможна на прилегающей к зданию территории.В Здании имеются арендаторы, срок аренды 10 лет.Уважаемые покупатели, за дополнительной информацией, фото, документами Вы можете обращаться по телефону."
"Коммерческая недвижимость, 2200 м²",Московская область,,,,Лыткарино,Коммерческая недвижимость,,2200 м²,65 000 000 ₽,29 545 ₽,Коммерческая недвижимость,8/6/2020,21/8/2020,2622977334,"Московская область, Лыткарино, Колхозная улица, 96В, Лыткарино, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-lytkarino-2622977334," Продаётся производственно-складской комплекс общей площадью 2200м.кв. Капитальное строение 2014г. постройки. Потолки основного здания 4-7м. свободной планировки, 400КВт электричество, мощная приточно-вытяжная система. Городская канализация, водопровод, отопление, магистральный газ. Дополнительно автономное отопление газом. Интернет, видео-наблюдение. Есть проект реализации территории в качестве ТРЦ. Не затратная процедура перевода в назначение торговля.В собственности."
"Отель, 3000 м²",Московская область,,,,Ногинск,Коммерческая недвижимость,,3000 м²,175 000 000 ₽,58 333 ₽,Отель,18/4/2018,23/8/2020,1246732847,"Московская область, Богородский городской округ, Ногинск, улица Радченко, 24, Ногинск, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-noginsk-1246732847,"Продается гостиница: общей площадью 2800 кв. м. на з/у 0.33 га, 30 номеров , 2 ресторана, конференц зал, спа зона ...... Детальная информация при осмотре объекта!"
"Коммерческая недвижимость, 2310.7 м²",Москва,Таганская,ЦАО,Таганский,,Коммерческая недвижимость,,2310.7 м²,250 471 547 ₽,108 396 ₽,Коммерческая недвижимость,16/6/2020,18/8/2020,2643738602,"Москва, Большой Дровяной переулок, 7/9с1, Таганский, Москва",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-moskva-2643738602,"В рамках ликвидации компании, продается помещение по 127 фз-рф( о банкротстве)Если не знаете ,что такое реализация по 127 фз..Посмотрите мое видео в прикрепленных.Здание - 2 310,7 кв. м, к.н. 77:01:0006026:1110Право аренды на  земельный участок с правом выкупа в течении 49 лет - 622 кв. м, к.н.  77:01:0006026:116, земли населенных пунктов - для эксплуатации здания  офисного комплекса, договор аренды земельного участка от 20.12.2001 №  М-01-02167 Неотделимые улучшения и имущество (91 поз.)Адрес: г. Москва, пер. Большой Дровяной, д. 7/9, стр. 1Есть также другие объекты из жилой,коммерческой недвижимости и объекты по продаже земли.Звоните подробно все расскажу."
"Производство, 4600 м²",Московская область,,,,Дмитров,Коммерческая недвижимость,,4600 м²,39 900 000 ₽,8 674 ₽,Производство,20/7/2013,24/8/2020,2393187049,"Московская область, Дмитровский городской округ, деревня Непейно, 38, Дмитров, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-dmitrov-2393187049,"Продается комплекс общ. пл. 4600м2 в д. Непейно Дмитровского района в 68 км. от МКАД.Площадь земельного участка составляет 3,1Га, на нем расположены:•2 одноэтажных здания – по 1600м2, каждый из ЖБ плит, высота потолков 4 м.•2 одноэтажных здания – по 500 м2 каждый, высота потолков 3 м.•Административное здание – общей площадью 400 кв.м.Коммуникации: электроэнергия 1050 кВт (две подстанции), центральный водопровод 25м3 в сутки, септик, газопровод по границе участка с возможностью подсоединенияКатегория земли: земли сельскохозяйственного назначения;Разрешенное использование: для сельхозпроизводства;Вид права: собственность;По данному назначению данный комплекс можно использовать под предприятие по переработке сельхозпродукции, производство пищевых продуктов, деревообработку, организация склада и т.д.В случае необходимости окажем содействие в изменение вида целевого использования или смены категории земельного участка."
"Производство, 3233 м²",Московская область,,,,Дмитров,Коммерческая недвижимость,,3233 м²,95 816 000 ₽,29 637 ₽,Производство,20/4/2020,24/8/2020,2503030450,"Московская область, Дмитровский городской округ, Дмитров, Профессиональная улица, 133, Дмитров, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-dmitrov-2503030450,"ПРОДАЖА КОММЕРЧЕСКОГО ОБЪЕКТА С ПРЯМЫМ ВЪЕЗДОМ / ВЫЕЗДОМ НА УЛИЦУ ПРОФЕССИОНАЛЬНАЯ И СВОБОДНОЙ ПЛОЩАДЬЮ ЗЕМЕЛЬНОГО УЧАСТКА 4566 кв.м. по адресу МО, г. Дмитров, ул. Профессиональная, дом 133. id 37387755.Здание в собственности. Площадь всех помещений 2-х этажного здания: 3233,5 кв.м. Здание занимает 2872 кв.м (36,47 Х 78,77) на арендованном земельном участке площадью 7438 кв.м. (долгосрочная аренда). Дополнительно оформлен сервитут на прилегающие к зданию 505 кв. м (с северной стороны здания). Согласована возможность организации въезда/выезда на Профессиональную ул., к которой примыкает земельный участок. Возможно обустройство парковки площадью 4500 кв.м. Газ 247 м3/сут. Водоснабжение и водоотведение 4,53 м3/сут. Электрическая мощность - 600 кВт. Возможен арендный бизнес с окупаемостью до 8-ми лет. Возможно изменение вида разрешённого использования земельного участка и здания для размещения ГОСТИНИЦЫ, ОФИСНОГО ЦЕНТРА, МАГАЗИНА , ТОРГОВОГО ЦЕНТРА, РЫНКА, ФИТНЕС-ЦЕНТРА, ДЕТСКОГО РАЗВЛЕКАТЕЛЬНОГО/ОБУЧАЮЩЕГО/СПОРТИВНОГО ЦЕНТРА, и др. Цена с учетом НДС, НДС возмещается из бюджета РФ покупателю.Удобные транспортные развязки. От МКАД 50 км. Черта города Дмитров.Звоните или пишите, чтобы узнать подробную информацию по этому и по другим актуальным предложениям."
"Магазин, 8000 м²",Москва,Охотный ряд,ЦАО,Тверской,,Коммерческая недвижимость,,8000 м²,280 000 000 ₽,35 000 ₽,Магазин,14/2/2020,21/8/2020,2310287822,"Москва, Тверской, Москва",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-moskva-2310287822,"Код объекта: T-5180 Предлагается склад в г. Лобня Московской области. Комплекс стоит на отдельной огороженной территории. Транспортная доступность - 20 км от МКАД.Общая площадь склада - 7984,1 м2На продажу предлагается целиком.В аренду предлагается 4200 кв. м.Рабочая высота - 12 мНагрузка на пол-  8 тоннОтдельная легковая стоянка – 14 местОтдельная грузовая стоянка – на 23 фурыСклад оборудован стеллажами на 12000 паллетоместВозможно размещение производства (имеются мощности по электроэнергии, газу, воде, пару)."
"Офис, 4057.5 м²",Москва,Крымская,ЮЗАО,Академический,,Коммерческая недвижимость,,4057.5 м²,290 000 000 ₽,71 473 ₽,Офис,1/11/2019,21/8/2020,1972042526,"Москва, Большая Черёмушкинская улица, Академический, Москва",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-moskva-1972042526,"Код объекта: O-5770 В аренду предлагается ОСЗ на Большой Черемушкинской улице.Административное здание располагается в ЮЗАО г. Москвы. Хорошая транспортная доступность обеспечивается за счет близости Профсоюзной улицы, Нахимовского проспекта и улицы Кржижановского. Дорога пешком до станции метрополитена ""Профсоюзная"" займет 15 минут пешком.Общая площадь – 4057,5 кв. м.Высота потолков - hп = 3,м, h1-5 =3,5мКол-во входов - 3Земельный участок – 2 186 кв. м,ДДА до 11.11.2029 г.Собственная парковка на огороженной территории."
"Офис, 2525 м²",Москва,Окружная,САО,Тимирязевский,,Коммерческая недвижимость,,2525 м²,220 000 000 ₽,87 129 ₽,Офис,19/11/2019,21/8/2020,2031519548,"Москва, Локомотивный проезд, Тимирязевский, Москва",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-moskva-2031519548,"Код объекта: O-5709 Предлагается к продаже торгово-офисный центр «Локомотивный 19», расположенный на первой линии Локомотивного проезда.В шаговой доступности станции метро Окружная, Петровско-Разумовская, Владыкино. Имеется удобный подъезд с Дмитровского и Алтуфьевского шоссе. Общая площадь здания 2525 кв. м, из которых: 1 этаж (стрит ритейл) - 983 кв. м, 2-4 этажи (офисная часть) - 1542 кв. м. Площадь земельного участка - 3846 кв. м. Огороженная территория, видео наблюдение. Напротив здания находится остановка общественного транспорта. Хороший пешеходный трафик.  Парковка наземная: 65 м/м."
"Офис, 3747 м²",Москва,Бибирево,СВАО,Алтуфьевский,,Коммерческая недвижимость,,3747 м²,220 000 000 ₽,58 714 ₽,Офис,9/10/2019,21/8/2020,1894624575,"Москва, Алтуфьевское шоссе, Алтуфьевский, Москва",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-moskva-1894624575,"Код объекта: O-5298 На продажу предлагается офисное здание на Алтуфьевском шоссе.Объект расположен в СВАО г. Москвы, в пешей доступности от м. ""Бибирево"". Путь пешком до станции займет не более 20 минут. Отличная транспортная доступность обеспечена близким расположением МКАД, Дмитровского шоссе, ж/д станции ""Бескудниково"" Савеловского направления.Общая площадь – 3747 кв. м.Этажность– 7.Год постройки – 1970.Помещения с отделкой. Коридорно-кабинетная планировка (на этаже от 14 до 18 кабинетов).Высота потолков – 1 этаж – 2,6 м (армстронг), 2-4 и 6 этажи – 2,93 м (2-4 и 6 этажи), 5 этаж – 4,5 м.С/у расположены на каждом этаже."
"Коммерческая недвижимость, 5000 м²",Московская область,,,,Видное,Коммерческая недвижимость,,5000 м²,300 000 000 ₽,60 000 ₽,Коммерческая недвижимость,4/11/2019,24/8/2020,1979484289,"Московская область, Ленинский городской округ, Видное, улица Павла Фёдоровича Гаевского, 5, Видное, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-vidnoe-1979484289,"Продается  осз под отель, гостиницу, хостел, апартоменты, общежитие. в настоящий момент здание сдано в аренду на 99%, мап 3150000р, арендаторы супермаркет пятеречка, и сетевое общежитие. "
"Отель, 5134.8 м²",Московская область,,,,Хотьково,Коммерческая недвижимость,,5134.8 м²,14 250 000 ₽,2 775 ₽,Отель,19/8/2020,25/8/2020,2800876376,"Московская область, Сергиево-Посадский городской округ, территориальный отдел Васильевское, Хотьково, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-hotkovo-2800876376,"Срочная продажа!!!Продается бывший пионерский лагерь по цене 1,5 гектаров земли!!!!. Московская область, Сергиево – Посадский р-н, дер. Прокшино. Живописный берег реки Воря. Ярославское шоссе, 75 км от МКАД. Земельный участок : Территория пионерского лагеря состоит из двух землеотводов:Землеотвод №1 общая площадь 12597 кв.м.Землеотвод № 2 общая площадь 46203 кв.м.ЗЕМЛЯ В СОБСТВЕННОСТИ!!! ВСЕ ОБЪЕКТЫ В СОБСТВЕННОСТИ У ОДНОГО ХОЗЯИНА!!! Свежии выписки из ЕГРН в наличии. Оценка имущества в наличии. 1 гектар земли в этом районе стоит 10 000 000 руб.!!!Категория земель: земли особо охраняемых территорий, под пионерским лагерем.Капитальные строения:* Клуб столовая 160 мест общей площадью 1824,4 кв.м* Спальный корпус №1 общей площадью 1011,4 кв.м* Спальный корпус №2 общей площадью 719,4 кв.м* Котельная общей площадью 252 кв.м* Медпунктобщей площадью 388,6 кв.м* Дом творчества общей площадью 949,3 кв.м.Коммуникации:* Электричество 400 кВт (подведено, получены ТУ)* Вода (центральный водопровод, артезианская скважина)* Канализация (сток в существующую канализацию, септик)* ОтоплениеОкружение и инфраструктура района: С трех сторон к границе участка примыкает лес. В полукилометре пруд. Ближайшая железнодорожная станция ""61 км"" - 600 метров."
